Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,NASDAQ Symbol,NextShares,Financial Status Clean,CQS Symbol Clean
Y,ACTT,Act II Global Acquisition Corp. - Class A Ordinary Shares,Q,S,N,100.0,N,ACTT,N,NASDAQ - Normal,Not Reported
Y,ACTTU,Act II Global Acquisition Corp. - Unit,Q,S,N,100.0,N,ACTTU,N,NASDAQ - Normal,Not Reported
Y,ACU,Acme United Corporation. Common Stock,A, ,N,100.0,N,ACU,N,Non-NASDAQ,ACU
Y,ACV,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,ACV,N,Non-NASDAQ,ACV
Y,ACWF,iShares Edge MSCI Multifactor Global ETF,P, ,Y,100.0,N,ACWF,N,Non-NASDAQ,ACWF
Y,ACWI,iShares MSCI ACWI Index Fund,Q,G,Y,100.0,N,ACWI,N,NASDAQ - Normal,Not Reported
Y,ACWV,iShares Edge MSCI Min Vol Global ETF,Z, ,Y,100.0,N,ACWV,N,Non-NASDAQ,ACWV
Y,ACWX,iShares MSCI ACWI ex US Index Fund,Q,G,Y,100.0,N,ACWX,N,NASDAQ - Normal,Not Reported
Y,ACY,AeroCentury Corp. Common Stock,A, ,N,100.0,N,ACY,N,Non-NASDAQ,ACY
Y,ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,Q,Q,N,100.0,N,ADAP,N,NASDAQ - Normal,Not Reported
Y,ADBE,Adobe Inc. - Common Stock,Q,Q,N,100.0,N,ADBE,N,NASDAQ - Normal,Not Reported
Y,ADC,Agree Realty Corporation Common Stock,N, ,N,100.0,N,ADC,N,Non-NASDAQ,ADC
Y,ADES,"Advanced Emissions Solutions, Inc. - Common Stock",Q,G,N,100.0,N,ADES,N,NASDAQ - Normal,Not Reported
Y,ADI,"Analog Devices, Inc. - Common Stock",Q,Q,N,100.0,N,ADI,N,NASDAQ - Normal,Not Reported
Y,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",Q,S,N,100.0,N,ADIL,N,NASDAQ - Normal,Not Reported
Y,ADM,Archer-Daniels-Midland Company Common Stock,N, ,N,100.0,N,ADM,N,Non-NASDAQ,ADM
Y,ADMA,ADMA Biologics Inc - Common Stock,Q,G,N,100.0,N,ADMA,N,NASDAQ - Normal,Not Reported
Y,ADME,Aptus Drawdown Managed Equity ETF,Z, ,Y,100.0,N,ADME,N,Non-NASDAQ,ADME
Y,ADMP,Adamis Pharmaceuticals Corporation - Common Stock,Q,S,N,100.0,N,ADMP,N,NASDAQ - Deficient,Not Reported
Y,ADMS,"Adamas Pharmaceuticals, Inc. - Common Stock",Q,G,N,100.0,N,ADMS,N,NASDAQ - Normal,Not Reported
Y,ADNT,Adient plc Ordinary Shares ,N, ,N,100.0,N,ADNT,N,Non-NASDAQ,ADNT
Y,ADP,"Automatic Data Processing, Inc. - Common Stock",Q,Q,N,100.0,N,ADP,N,NASDAQ - Normal,Not Reported
Y,ADPT,Adaptive Biotechnologies Corporation - Common Stock,Q,Q,N,100.0,N,ADPT,N,NASDAQ - Normal,Not Reported
Y,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Q,G,Y,100.0,N,ADRE,N,NASDAQ - Normal,Not Reported
Y,ADRO,"Aduro Biotech, Inc. - Common Stock",Q,Q,N,100.0,N,ADRO,N,NASDAQ - Normal,Not Reported
Y,ADS,Alliance Data Systems Corporation Common Stock,N, ,N,100.0,N,ADS,N,Non-NASDAQ,ADS
Y,ADSK,"Autodesk, Inc. - Common Stock",Q,Q,N,100.0,N,ADSK,N,NASDAQ - Normal,Not Reported
Y,ADSW,"Advanced Disposal Services, Inc. Common Stock",N, ,N,100.0,N,ADSW,N,Non-NASDAQ,ADSW
Y,ADT,ADT Inc. Common Stock,N, ,N,100.0,N,ADT,N,Non-NASDAQ,ADT
Y,ADTN,"ADTRAN, Inc. - Common Stock",Q,Q,N,100.0,N,ADTN,N,NASDAQ - Normal,Not Reported
Y,ADUS,Addus HomeCare Corporation - Common Stock,Q,Q,N,100.0,N,ADUS,N,NASDAQ - Delinquent,Not Reported
Y,ADVM,"Adverum Biotechnologies, Inc. - Common Stock",Q,G,N,100.0,N,ADVM,N,NASDAQ - Normal,Not Reported
Y,ADX,Adams Diversified Equity Fund Inc.,N, ,N,100.0,N,ADX,N,Non-NASDAQ,ADX
Y,ADXN,Addex Therapeutics Ltd - American Depositary Shares,Q,S,N,100.0,N,ADXN,N,NASDAQ - Normal,Not Reported
Y,ADXS,"Advaxis, Inc. - Common Stock",Q,Q,N,100.0,N,ADXS,N,NASDAQ - Normal,Not Reported
Y,AE,"Adams Resources & Energy, Inc. Common Stock",A, ,N,100.0,N,AE,N,Non-NASDAQ,AE
Y,AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),N, ,N,100.0,N,AEB,N,Non-NASDAQ,AEB
Y,AEE,Ameren Corporation Common Stock,N, ,N,100.0,N,AEE,N,Non-NASDAQ,AEE
Y,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc. Common Stock",A, ,N,100.0,N,AEF,N,Non-NASDAQ,AEF
Y,AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,N, ,N,100.0,N,AEFC,N,Non-NASDAQ,AEFC
Y,AEG,AEGON N.V. Common Stock,N, ,N,100.0,N,AEG,N,Non-NASDAQ,AEG
Y,AEGN,Aegion Corp - Class A Common Stock,Q,Q,N,100.0,N,AEGN,N,NASDAQ - Normal,Not Reported
Y,AEHR,Aehr Test Systems - Common Stock,Q,S,N,100.0,N,AEHR,N,NASDAQ - Normal,Not Reported
Y,AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,Q,N,100.0,N,AEIS,N,NASDAQ - Normal,Not Reported
Y,AEL,American Equity Investment Life Holding Company Common Stock,N, ,N,100.0,N,AEL,N,Non-NASDAQ,AEL
